AREA NAME,Year,crime_category_v2,count
77th Street,2020,OTHER,909
77th Street,2020,PROPERTY_CRIME,2962
77th Street,2020,SEXUAL_CRIME,385
77th Street,2020,VANDALISM,1399
77th Street,2020,VEHICLE_CRIME,1645
77th Street,2020,VIOLENT_CRIME,5990
77th Street,2021,OTHER,995
77th Street,2021,PROPERTY_CRIME,2899
77th Street,2021,SEXUAL_CRIME,331
77th Street,2021,VANDALISM,1237
77th Street,2021,VEHICLE_CRIME,1827
77th Street,2021,VIOLENT_CRIME,5714
77th Street,2022,OTHER,900
77th Street,2022,PROPERTY_CRIME,4552
77th Street,2022,SEXUAL_CRIME,358
77th Street,2022,VANDALISM,1033
77th Street,2022,VEHICLE_CRIME,1854
77th Street,2022,VIOLENT_CRIME,5868
77th Street,2023,OTHER,875
77th Street,2023,PROPERTY_CRIME,3730
77th Street,2023,SEXUAL_CRIME,306
77th Street,2023,VANDALISM,909
77th Street,2023,VEHICLE_CRIME,2198
77th Street,2023,VIOLENT_CRIME,5914
77th Street,2024,OTHER,317
77th Street,2024,PROPERTY_CRIME,1445
77th Street,2024,SEXUAL_CRIME,115
77th Street,2024,VANDALISM,382
77th Street,2024,VEHICLE_CRIME,1058
77th Street,2024,VIOLENT_CRIME,1980
Central,2020,OTHER,666
Central,2020,PROPERTY_CRIME,4324
Central,2020,SEXUAL_CRIME,397
Central,2020,VANDALISM,1358
Central,2020,VEHICLE_CRIME,614
Central,2020,VIOLENT_CRIME,4172
Central,2021,OTHER,564
Central,2021,PROPERTY_CRIME,5298
Central,2021,SEXUAL_CRIME,378
Central,2021,VANDALISM,1339
Central,2021,VEHICLE_CRIME,858
Central,2021,VIOLENT_CRIME,4605
Central,2022,OTHER,650
Central,2022,PROPERTY_CRIME,8450
Central,2022,SEXUAL_CRIME,414
Central,2022,VANDALISM,1502
Central,2022,VEHICLE_CRIME,1247
Central,2022,VIOLENT_CRIME,5446
Central,2023,OTHER,1154
Central,2023,PROPERTY_CRIME,7415
Central,2023,SEXUAL_CRIME,403
Central,2023,VANDALISM,1357
Central,2023,VEHICLE_CRIME,1309
Central,2023,VIOLENT_CRIME,5311
Central,2024,OTHER,1490
Central,2024,PROPERTY_CRIME,2898
Central,2024,SEXUAL_CRIME,101
Central,2024,VANDALISM,600
Central,2024,VEHICLE_CRIME,716
Central,2024,VIOLENT_CRIME,1003
Devonshire,2020,OTHER,582
Devonshire,2020,PROPERTY_CRIME,3953
Devonshire,2020,SEXUAL_CRIME,190
Devonshire,2020,VANDALISM,648
Devonshire,2020,VEHICLE_CRIME,721
Devonshire,2020,VIOLENT_CRIME,1841
Devonshire,2021,OTHER,614
Devonshire,2021,PROPERTY_CRIME,4058
Devonshire,2021,SEXUAL_CRIME,226
Devonshire,2021,VANDALISM,576
Devonshire,2021,VEHICLE_CRIME,962
Devonshire,2021,VIOLENT_CRIME,2008
Devonshire,2022,OTHER,668
Devonshire,2022,PROPERTY_CRIME,4967
Devonshire,2022,SEXUAL_CRIME,230
Devonshire,2022,VANDALISM,592
Devonshire,2022,VEHICLE_CRIME,913
Devonshire,2022,VIOLENT_CRIME,2209
Devonshire,2023,OTHER,671
Devonshire,2023,PROPERTY_CRIME,5184
Devonshire,2023,SEXUAL_CRIME,249
Devonshire,2023,VANDALISM,640
Devonshire,2023,VEHICLE_CRIME,738
Devonshire,2023,VIOLENT_CRIME,2260
Devonshire,2024,OTHER,276
Devonshire,2024,PROPERTY_CRIME,2453
Devonshire,2024,SEXUAL_CRIME,75
Devonshire,2024,VANDALISM,288
Devonshire,2024,VEHICLE_CRIME,510
Devonshire,2024,VIOLENT_CRIME,715
Foothill,2020,OTHER,601
Foothill,2020,PROPERTY_CRIME,2485
Foothill,2020,SEXUAL_CRIME,173
Foothill,2020,VANDALISM,726
Foothill,2020,VEHICLE_CRIME,1003
Foothill,2020,VIOLENT_CRIME,2094
Foothill,2021,OTHER,619
Foothill,2021,PROPERTY_CRIME,2642
Foothill,2021,SEXUAL_CRIME,176
Foothill,2021,VANDALISM,671
Foothill,2021,VEHICLE_CRIME,944
Foothill,2021,VIOLENT_CRIME,1945
Foothill,2022,OTHER,675
Foothill,2022,PROPERTY_CRIME,3473
Foothill,2022,SEXUAL_CRIME,204
Foothill,2022,VANDALISM,606
Foothill,2022,VEHICLE_CRIME,916
Foothill,2022,VIOLENT_CRIME,1985
Foothill,2023,OTHER,720
Foothill,2023,PROPERTY_CRIME,2704
Foothill,2023,SEXUAL_CRIME,150
Foothill,2023,VANDALISM,524
Foothill,2023,VEHICLE_CRIME,913
Foothill,2023,VIOLENT_CRIME,2138
Foothill,2024,OTHER,198
Foothill,2024,PROPERTY_CRIME,1149
Foothill,2024,SEXUAL_CRIME,78
Foothill,2024,VANDALISM,249
Foothill,2024,VEHICLE_CRIME,592
Foothill,2024,VIOLENT_CRIME,718
Harbor,2020,OTHER,789
Harbor,2020,PROPERTY_CRIME,2887
Harbor,2020,SEXUAL_CRIME,178
Harbor,2020,VANDALISM,1026
Harbor,2020,VEHICLE_CRIME,1156
Harbor,2020,VIOLENT_CRIME,2811
Harbor,2021,OTHER,688
Harbor,2021,PROPERTY_CRIME,2809
Harbor,2021,SEXUAL_CRIME,210
Harbor,2021,VANDALISM,970
Harbor,2021,VEHICLE_CRIME,1282
Harbor,2021,VIOLENT_CRIME,2874
Harbor,2022,OTHER,757
Harbor,2022,PROPERTY_CRIME,3115
Harbor,2022,SEXUAL_CRIME,214
Harbor,2022,VANDALISM,796
Harbor,2022,VEHICLE_CRIME,1351
Harbor,2022,VIOLENT_CRIME,2958
Harbor,2023,OTHER,774
Harbor,2023,PROPERTY_CRIME,3075
Harbor,2023,SEXUAL_CRIME,163
Harbor,2023,VANDALISM,762
Harbor,2023,VEHICLE_CRIME,1523
Harbor,2023,VIOLENT_CRIME,2819
Harbor,2024,OTHER,282
Harbor,2024,PROPERTY_CRIME,1350
Harbor,2024,SEXUAL_CRIME,73
Harbor,2024,VANDALISM,370
Harbor,2024,VEHICLE_CRIME,813
Harbor,2024,VIOLENT_CRIME,952
Hollenbeck,2020,OTHER,552
Hollenbeck,2020,PROPERTY_CRIME,2281
Hollenbeck,2020,SEXUAL_CRIME,162
Hollenbeck,2020,VANDALISM,871
Hollenbeck,2020,VEHICLE_CRIME,1369
Hollenbeck,2020,VIOLENT_CRIME,2531
Hollenbeck,2021,OTHER,560
Hollenbeck,2021,PROPERTY_CRIME,2372
Hollenbeck,2021,SEXUAL_CRIME,159
Hollenbeck,2021,VANDALISM,884
Hollenbeck,2021,VEHICLE_CRIME,1315
Hollenbeck,2021,VIOLENT_CRIME,2689
Hollenbeck,2022,OTHER,553
Hollenbeck,2022,PROPERTY_CRIME,2915
Hollenbeck,2022,SEXUAL_CRIME,180
Hollenbeck,2022,VANDALISM,767
Hollenbeck,2022,VEHICLE_CRIME,1443
Hollenbeck,2022,VIOLENT_CRIME,2660
Hollenbeck,2023,OTHER,613
Hollenbeck,2023,PROPERTY_CRIME,2822
Hollenbeck,2023,SEXUAL_CRIME,153
Hollenbeck,2023,VANDALISM,827
Hollenbeck,2023,VEHICLE_CRIME,1236
Hollenbeck,2023,VIOLENT_CRIME,2748
Hollenbeck,2024,OTHER,132
Hollenbeck,2024,PROPERTY_CRIME,1154
Hollenbeck,2024,SEXUAL_CRIME,42
Hollenbeck,2024,VANDALISM,299
Hollenbeck,2024,VEHICLE_CRIME,701
Hollenbeck,2024,VIOLENT_CRIME,489
Hollywood,2020,OTHER,710
Hollywood,2020,PROPERTY_CRIME,4213
Hollywood,2020,SEXUAL_CRIME,321
Hollywood,2020,VANDALISM,1042
Hollywood,2020,VEHICLE_CRIME,730
Hollywood,2020,VIOLENT_CRIME,3083
Hollywood,2021,OTHER,760
Hollywood,2021,PROPERTY_CRIME,4979
Hollywood,2021,SEXUAL_CRIME,383
Hollywood,2021,VANDALISM,1158
Hollywood,2021,VEHICLE_CRIME,914
Hollywood,2021,VIOLENT_CRIME,3653
Hollywood,2022,OTHER,796
Hollywood,2022,PROPERTY_CRIME,5660
Hollywood,2022,SEXUAL_CRIME,380
Hollywood,2022,VANDALISM,1053
Hollywood,2022,VEHICLE_CRIME,927
Hollywood,2022,VIOLENT_CRIME,3723
Hollywood,2023,OTHER,859
Hollywood,2023,PROPERTY_CRIME,5078
Hollywood,2023,SEXUAL_CRIME,327
Hollywood,2023,VANDALISM,860
Hollywood,2023,VEHICLE_CRIME,834
Hollywood,2023,VIOLENT_CRIME,3482
Hollywood,2024,OTHER,299
Hollywood,2024,PROPERTY_CRIME,2319
Hollywood,2024,SEXUAL_CRIME,74
Hollywood,2024,VANDALISM,357
Hollywood,2024,VEHICLE_CRIME,446
Hollywood,2024,VIOLENT_CRIME,839
Mission,2020,OTHER,715
Mission,2020,PROPERTY_CRIME,2842
Mission,2020,SEXUAL_CRIME,240
Mission,2020,VANDALISM,818
Mission,2020,VEHICLE_CRIME,1227
Mission,2020,VIOLENT_CRIME,2586
Mission,2021,OTHER,735
Mission,2021,PROPERTY_CRIME,2939
Mission,2021,SEXUAL_CRIME,223
Mission,2021,VANDALISM,644
Mission,2021,VEHICLE_CRIME,1231
Mission,2021,VIOLENT_CRIME,2392
Mission,2022,OTHER,814
Mission,2022,PROPERTY_CRIME,3703
Mission,2022,SEXUAL_CRIME,255
Mission,2022,VANDALISM,701
Mission,2022,VEHICLE_CRIME,1220
Mission,2022,VIOLENT_CRIME,2576
Mission,2023,OTHER,740
Mission,2023,PROPERTY_CRIME,3314
Mission,2023,SEXUAL_CRIME,256
Mission,2023,VANDALISM,647
Mission,2023,VEHICLE_CRIME,1264
Mission,2023,VIOLENT_CRIME,2743
Mission,2024,OTHER,248
Mission,2024,PROPERTY_CRIME,1406
Mission,2024,SEXUAL_CRIME,84
Mission,2024,VANDALISM,259
Mission,2024,VEHICLE_CRIME,831
Mission,2024,VIOLENT_CRIME,941
N Hollywood,2020,OTHER,774
N Hollywood,2020,PROPERTY_CRIME,4618
N Hollywood,2020,SEXUAL_CRIME,216
N Hollywood,2020,VANDALISM,960
N Hollywood,2020,VEHICLE_CRIME,1022
N Hollywood,2020,VIOLENT_CRIME,2540
N Hollywood,2021,OTHER,715
N Hollywood,2021,PROPERTY_CRIME,5102
N Hollywood,2021,SEXUAL_CRIME,332
N Hollywood,2021,VANDALISM,1012
N Hollywood,2021,VEHICLE_CRIME,1055
N Hollywood,2021,VIOLENT_CRIME,2652
N Hollywood,2022,OTHER,814
N Hollywood,2022,PROPERTY_CRIME,5425
N Hollywood,2022,SEXUAL_CRIME,311
N Hollywood,2022,VANDALISM,967
N Hollywood,2022,VEHICLE_CRIME,1029
N Hollywood,2022,VIOLENT_CRIME,2643
N Hollywood,2023,OTHER,1007
N Hollywood,2023,PROPERTY_CRIME,5434
N Hollywood,2023,SEXUAL_CRIME,316
N Hollywood,2023,VANDALISM,1005
N Hollywood,2023,VEHICLE_CRIME,1128
N Hollywood,2023,VIOLENT_CRIME,2646
N Hollywood,2024,OTHER,580
N Hollywood,2024,PROPERTY_CRIME,2538
N Hollywood,2024,SEXUAL_CRIME,94
N Hollywood,2024,VANDALISM,414
N Hollywood,2024,VEHICLE_CRIME,711
N Hollywood,2024,VIOLENT_CRIME,989
Newton,2020,OTHER,595
Newton,2020,PROPERTY_CRIME,2714
Newton,2020,SEXUAL_CRIME,225
Newton,2020,VANDALISM,1124
Newton,2020,VEHICLE_CRIME,1657
Newton,2020,VIOLENT_CRIME,3635
Newton,2021,OTHER,629
Newton,2021,PROPERTY_CRIME,2609
Newton,2021,SEXUAL_CRIME,221
Newton,2021,VANDALISM,1007
Newton,2021,VEHICLE_CRIME,1650
Newton,2021,VIOLENT_CRIME,3744
Newton,2022,OTHER,641
Newton,2022,PROPERTY_CRIME,4339
Newton,2022,SEXUAL_CRIME,229
Newton,2022,VANDALISM,815
Newton,2022,VEHICLE_CRIME,1822
Newton,2022,VIOLENT_CRIME,4082
Newton,2023,OTHER,735
Newton,2023,PROPERTY_CRIME,4052
Newton,2023,SEXUAL_CRIME,211
Newton,2023,VANDALISM,839
Newton,2023,VEHICLE_CRIME,1956
Newton,2023,VIOLENT_CRIME,4127
Newton,2024,OTHER,295
Newton,2024,PROPERTY_CRIME,1415
Newton,2024,SEXUAL_CRIME,42
Newton,2024,VANDALISM,271
Newton,2024,VEHICLE_CRIME,1011
Newton,2024,VIOLENT_CRIME,805
Northeast,2020,OTHER,552
Northeast,2020,PROPERTY_CRIME,3757
Northeast,2020,SEXUAL_CRIME,187
Northeast,2020,VANDALISM,875
Northeast,2020,VEHICLE_CRIME,1094
Northeast,2020,VIOLENT_CRIME,1966
Northeast,2021,OTHER,654
Northeast,2021,PROPERTY_CRIME,4036
Northeast,2021,SEXUAL_CRIME,231
Northeast,2021,VANDALISM,925
Northeast,2021,VEHICLE_CRIME,1257
Northeast,2021,VIOLENT_CRIME,2223
Northeast,2022,OTHER,687
Northeast,2022,PROPERTY_CRIME,4719
Northeast,2022,SEXUAL_CRIME,204
Northeast,2022,VANDALISM,927
Northeast,2022,VEHICLE_CRIME,1233
Northeast,2022,VIOLENT_CRIME,2410
Northeast,2023,OTHER,726
Northeast,2023,PROPERTY_CRIME,4629
Northeast,2023,SEXUAL_CRIME,188
Northeast,2023,VANDALISM,861
Northeast,2023,VEHICLE_CRIME,1062
Northeast,2023,VIOLENT_CRIME,2230
Northeast,2024,OTHER,212
Northeast,2024,PROPERTY_CRIME,1947
Northeast,2024,SEXUAL_CRIME,68
Northeast,2024,VANDALISM,278
Northeast,2024,VEHICLE_CRIME,595
Northeast,2024,VIOLENT_CRIME,398
Olympic,2020,OTHER,628
Olympic,2020,PROPERTY_CRIME,3678
Olympic,2020,SEXUAL_CRIME,250
Olympic,2020,VANDALISM,961
Olympic,2020,VEHICLE_CRIME,925
Olympic,2020,VIOLENT_CRIME,3155
Olympic,2021,OTHER,629
Olympic,2021,PROPERTY_CRIME,4032
Olympic,2021,SEXUAL_CRIME,294
Olympic,2021,VANDALISM,981
Olympic,2021,VEHICLE_CRIME,1330
Olympic,2021,VIOLENT_CRIME,3476
Olympic,2022,OTHER,675
Olympic,2022,PROPERTY_CRIME,4915
Olympic,2022,SEXUAL_CRIME,288
Olympic,2022,VANDALISM,1001
Olympic,2022,VEHICLE_CRIME,1395
Olympic,2022,VIOLENT_CRIME,3778
Olympic,2023,OTHER,846
Olympic,2023,PROPERTY_CRIME,4681
Olympic,2023,SEXUAL_CRIME,255
Olympic,2023,VANDALISM,1002
Olympic,2023,VEHICLE_CRIME,1294
Olympic,2023,VIOLENT_CRIME,3655
Olympic,2024,OTHER,276
Olympic,2024,PROPERTY_CRIME,1857
Olympic,2024,SEXUAL_CRIME,81
Olympic,2024,VANDALISM,371
Olympic,2024,VEHICLE_CRIME,599
Olympic,2024,VIOLENT_CRIME,855
Pacific,2020,OTHER,810
Pacific,2020,PROPERTY_CRIME,5851
Pacific,2020,SEXUAL_CRIME,257
Pacific,2020,VANDALISM,975
Pacific,2020,VEHICLE_CRIME,1178
Pacific,2020,VIOLENT_CRIME,2437
Pacific,2021,OTHER,800
Pacific,2021,PROPERTY_CRIME,6506
Pacific,2021,SEXUAL_CRIME,269
Pacific,2021,VANDALISM,1162
Pacific,2021,VEHICLE_CRIME,1516
Pacific,2021,VIOLENT_CRIME,2568
Pacific,2022,OTHER,789
Pacific,2022,PROPERTY_CRIME,7031
Pacific,2022,SEXUAL_CRIME,280
Pacific,2022,VANDALISM,955
Pacific,2022,VEHICLE_CRIME,1542
Pacific,2022,VIOLENT_CRIME,2443
Pacific,2023,OTHER,707
Pacific,2023,PROPERTY_CRIME,7781
Pacific,2023,SEXUAL_CRIME,277
Pacific,2023,VANDALISM,970
Pacific,2023,VEHICLE_CRIME,1558
Pacific,2023,VIOLENT_CRIME,2462
Pacific,2024,OTHER,233
Pacific,2024,PROPERTY_CRIME,3186
Pacific,2024,SEXUAL_CRIME,72
Pacific,2024,VANDALISM,453
Pacific,2024,VEHICLE_CRIME,794
Pacific,2024,VIOLENT_CRIME,620
Rampart,2020,OTHER,504
Rampart,2020,PROPERTY_CRIME,2945
Rampart,2020,SEXUAL_CRIME,231
Rampart,2020,VANDALISM,1003
Rampart,2020,VEHICLE_CRIME,987
Rampart,2020,VIOLENT_CRIME,3312
Rampart,2021,OTHER,495
Rampart,2021,PROPERTY_CRIME,3130
Rampart,2021,SEXUAL_CRIME,242
Rampart,2021,VANDALISM,962
Rampart,2021,VEHICLE_CRIME,1152
Rampart,2021,VIOLENT_CRIME,3421
Rampart,2022,OTHER,644
Rampart,2022,PROPERTY_CRIME,4312
Rampart,2022,SEXUAL_CRIME,284
Rampart,2022,VANDALISM,882
Rampart,2022,VEHICLE_CRIME,1245
Rampart,2022,VIOLENT_CRIME,3833
Rampart,2023,OTHER,966
Rampart,2023,PROPERTY_CRIME,4289
Rampart,2023,SEXUAL_CRIME,239
Rampart,2023,VANDALISM,782
Rampart,2023,VEHICLE_CRIME,1297
Rampart,2023,VIOLENT_CRIME,3950
Rampart,2024,OTHER,393
Rampart,2024,PROPERTY_CRIME,1651
Rampart,2024,SEXUAL_CRIME,47
Rampart,2024,VANDALISM,282
Rampart,2024,VEHICLE_CRIME,623
Rampart,2024,VIOLENT_CRIME,740
Southeast,2020,OTHER,678
Southeast,2020,PROPERTY_CRIME,2574
Southeast,2020,SEXUAL_CRIME,277
Southeast,2020,VANDALISM,1126
Southeast,2020,VEHICLE_CRIME,1351
Southeast,2020,VIOLENT_CRIME,4787
Southeast,2021,OTHER,641
Southeast,2021,PROPERTY_CRIME,2266
Southeast,2021,SEXUAL_CRIME,227
Southeast,2021,VANDALISM,1068
Southeast,2021,VEHICLE_CRIME,1707
Southeast,2021,VIOLENT_CRIME,4414
Southeast,2022,OTHER,683
Southeast,2022,PROPERTY_CRIME,3702
Southeast,2022,SEXUAL_CRIME,252
Southeast,2022,VANDALISM,850
Southeast,2022,VEHICLE_CRIME,1555
Southeast,2022,VIOLENT_CRIME,4703
Southeast,2023,OTHER,697
Southeast,2023,PROPERTY_CRIME,3059
Southeast,2023,SEXUAL_CRIME,229
Southeast,2023,VANDALISM,855
Southeast,2023,VEHICLE_CRIME,1625
Southeast,2023,VIOLENT_CRIME,4816
Southeast,2024,OTHER,271
Southeast,2024,PROPERTY_CRIME,1118
Southeast,2024,SEXUAL_CRIME,87
Southeast,2024,VANDALISM,336
Southeast,2024,VEHICLE_CRIME,829
Southeast,2024,VIOLENT_CRIME,1604
Southwest,2020,OTHER,787
Southwest,2020,PROPERTY_CRIME,3632
Southwest,2020,SEXUAL_CRIME,326
Southwest,2020,VANDALISM,1131
Southwest,2020,VEHICLE_CRIME,1130
Southwest,2020,VIOLENT_CRIME,4135
Southwest,2021,OTHER,765
Southwest,2021,PROPERTY_CRIME,3744
Southwest,2021,SEXUAL_CRIME,350
Southwest,2021,VANDALISM,1118
Southwest,2021,VEHICLE_CRIME,1321
Southwest,2021,VIOLENT_CRIME,4085
Southwest,2022,OTHER,805
Southwest,2022,PROPERTY_CRIME,5673
Southwest,2022,SEXUAL_CRIME,333
Southwest,2022,VANDALISM,992
Southwest,2022,VEHICLE_CRIME,1479
Southwest,2022,VIOLENT_CRIME,4126
Southwest,2023,OTHER,828
Southwest,2023,PROPERTY_CRIME,5095
Southwest,2023,SEXUAL_CRIME,276
Southwest,2023,VANDALISM,1041
Southwest,2023,VEHICLE_CRIME,1739
Southwest,2023,VIOLENT_CRIME,4120
Southwest,2024,OTHER,502
Southwest,2024,PROPERTY_CRIME,2213
Southwest,2024,SEXUAL_CRIME,112
Southwest,2024,VANDALISM,445
Southwest,2024,VEHICLE_CRIME,949
Southwest,2024,VIOLENT_CRIME,1539
Topanga,2020,OTHER,662
Topanga,2020,PROPERTY_CRIME,3837
Topanga,2020,SEXUAL_CRIME,239
Topanga,2020,VANDALISM,642
Topanga,2020,VEHICLE_CRIME,701
Topanga,2020,VIOLENT_CRIME,2009
Topanga,2021,OTHER,640
Topanga,2021,PROPERTY_CRIME,4206
Topanga,2021,SEXUAL_CRIME,276
Topanga,2021,VANDALISM,647
Topanga,2021,VEHICLE_CRIME,787
Topanga,2021,VIOLENT_CRIME,2026
Topanga,2022,OTHER,760
Topanga,2022,PROPERTY_CRIME,4728
Topanga,2022,SEXUAL_CRIME,232
Topanga,2022,VANDALISM,634
Topanga,2022,VEHICLE_CRIME,721
Topanga,2022,VIOLENT_CRIME,2383
Topanga,2023,OTHER,641
Topanga,2023,PROPERTY_CRIME,5057
Topanga,2023,SEXUAL_CRIME,242
Topanga,2023,VANDALISM,618
Topanga,2023,VEHICLE_CRIME,700
Topanga,2023,VIOLENT_CRIME,2366
Topanga,2024,OTHER,212
Topanga,2024,PROPERTY_CRIME,2300
Topanga,2024,SEXUAL_CRIME,88
Topanga,2024,VANDALISM,293
Topanga,2024,VEHICLE_CRIME,462
Topanga,2024,VIOLENT_CRIME,739
Van Nuys,2020,OTHER,637
Van Nuys,2020,PROPERTY_CRIME,3972
Van Nuys,2020,SEXUAL_CRIME,201
Van Nuys,2020,VANDALISM,841
Van Nuys,2020,VEHICLE_CRIME,915
Van Nuys,2020,VIOLENT_CRIME,2178
Van Nuys,2021,OTHER,601
Van Nuys,2021,PROPERTY_CRIME,3990
Van Nuys,2021,SEXUAL_CRIME,236
Van Nuys,2021,VANDALISM,822
Van Nuys,2021,VEHICLE_CRIME,942
Van Nuys,2021,VIOLENT_CRIME,2050
Van Nuys,2022,OTHER,628
Van Nuys,2022,PROPERTY_CRIME,4680
Van Nuys,2022,SEXUAL_CRIME,239
Van Nuys,2022,VANDALISM,848
Van Nuys,2022,VEHICLE_CRIME,957
Van Nuys,2022,VIOLENT_CRIME,2356
Van Nuys,2023,OTHER,725
Van Nuys,2023,PROPERTY_CRIME,4811
Van Nuys,2023,SEXUAL_CRIME,203
Van Nuys,2023,VANDALISM,807
Van Nuys,2023,VEHICLE_CRIME,1015
Van Nuys,2023,VIOLENT_CRIME,2363
Van Nuys,2024,OTHER,217
Van Nuys,2024,PROPERTY_CRIME,2151
Van Nuys,2024,SEXUAL_CRIME,71
Van Nuys,2024,VANDALISM,348
Van Nuys,2024,VEHICLE_CRIME,615
Van Nuys,2024,VIOLENT_CRIME,768
West LA,2020,OTHER,666
West LA,2020,PROPERTY_CRIME,5310
West LA,2020,SEXUAL_CRIME,282
West LA,2020,VANDALISM,758
West LA,2020,VEHICLE_CRIME,675
West LA,2020,VIOLENT_CRIME,1604
West LA,2021,OTHER,598
West LA,2021,PROPERTY_CRIME,5476
West LA,2021,SEXUAL_CRIME,285
West LA,2021,VANDALISM,988
West LA,2021,VEHICLE_CRIME,734
West LA,2021,VIOLENT_CRIME,1779
West LA,2022,OTHER,697
West LA,2022,PROPERTY_CRIME,6119
West LA,2022,SEXUAL_CRIME,253
West LA,2022,VANDALISM,863
West LA,2022,VEHICLE_CRIME,821
West LA,2022,VIOLENT_CRIME,1749
West LA,2023,OTHER,618
West LA,2023,PROPERTY_CRIME,6408
West LA,2023,SEXUAL_CRIME,263
West LA,2023,VANDALISM,876
West LA,2023,VEHICLE_CRIME,760
West LA,2023,VIOLENT_CRIME,1648
West LA,2024,OTHER,158
West LA,2024,PROPERTY_CRIME,2464
West LA,2024,SEXUAL_CRIME,86
West LA,2024,VANDALISM,324
West LA,2024,VEHICLE_CRIME,354
West LA,2024,VIOLENT_CRIME,362
West Valley,2020,OTHER,608
West Valley,2020,PROPERTY_CRIME,3549
West Valley,2020,SEXUAL_CRIME,270
West Valley,2020,VANDALISM,723
West Valley,2020,VEHICLE_CRIME,794
West Valley,2020,VIOLENT_CRIME,2132
West Valley,2021,OTHER,661
West Valley,2021,PROPERTY_CRIME,3693
West Valley,2021,SEXUAL_CRIME,265
West Valley,2021,VANDALISM,812
West Valley,2021,VEHICLE_CRIME,880
West Valley,2021,VIOLENT_CRIME,2205
West Valley,2022,OTHER,783
West Valley,2022,PROPERTY_CRIME,4798
West Valley,2022,SEXUAL_CRIME,272
West Valley,2022,VANDALISM,769
West Valley,2022,VEHICLE_CRIME,1039
West Valley,2022,VIOLENT_CRIME,2615
West Valley,2023,OTHER,891
West Valley,2023,PROPERTY_CRIME,4506
West Valley,2023,SEXUAL_CRIME,235
West Valley,2023,VANDALISM,696
West Valley,2023,VEHICLE_CRIME,936
West Valley,2023,VIOLENT_CRIME,2657
West Valley,2024,OTHER,224
West Valley,2024,PROPERTY_CRIME,1923
West Valley,2024,SEXUAL_CRIME,72
West Valley,2024,VANDALISM,295
West Valley,2024,VEHICLE_CRIME,564
West Valley,2024,VIOLENT_CRIME,916
Wilshire,2020,OTHER,666
Wilshire,2020,PROPERTY_CRIME,4345
Wilshire,2020,SEXUAL_CRIME,266
Wilshire,2020,VANDALISM,857
Wilshire,2020,VEHICLE_CRIME,680
Wilshire,2020,VIOLENT_CRIME,2429
Wilshire,2021,OTHER,702
Wilshire,2021,PROPERTY_CRIME,4414
Wilshire,2021,SEXUAL_CRIME,288
Wilshire,2021,VANDALISM,913
Wilshire,2021,VEHICLE_CRIME,893
Wilshire,2021,VIOLENT_CRIME,2451
Wilshire,2022,OTHER,772
Wilshire,2022,PROPERTY_CRIME,5743
Wilshire,2022,SEXUAL_CRIME,298
Wilshire,2022,VANDALISM,895
Wilshire,2022,VEHICLE_CRIME,951
Wilshire,2022,VIOLENT_CRIME,2502
Wilshire,2023,OTHER,778
Wilshire,2023,PROPERTY_CRIME,6240
Wilshire,2023,SEXUAL_CRIME,282
Wilshire,2023,VANDALISM,892
Wilshire,2023,VEHICLE_CRIME,983
Wilshire,2023,VIOLENT_CRIME,2522
Wilshire,2024,OTHER,180
Wilshire,2024,PROPERTY_CRIME,2672
Wilshire,2024,SEXUAL_CRIME,102
Wilshire,2024,VANDALISM,337
Wilshire,2024,VEHICLE_CRIME,519
Wilshire,2024,VIOLENT_CRIME,605
