Year,Month,crime_category_v2,count
2020,1,OTHER,1383
2020,1,PROPERTY_CRIME,7982
2020,1,SEXUAL_CRIME,622
2020,1,VANDALISM,1704
2020,1,VEHICLE_CRIME,1454
2020,1,VIOLENT_CRIME,5405
2020,2,OTHER,1340
2020,2,PROPERTY_CRIME,7368
2020,2,SEXUAL_CRIME,558
2020,2,VANDALISM,1655
2020,2,VEHICLE_CRIME,1321
2020,2,VIOLENT_CRIME,5031
2020,3,OTHER,1122
2020,3,PROPERTY_CRIME,6639
2020,3,SEXUAL_CRIME,416
2020,3,VANDALISM,1582
2020,3,VEHICLE_CRIME,1538
2020,3,VIOLENT_CRIME,4859
2020,4,OTHER,1085
2020,4,PROPERTY_CRIME,6016
2020,4,SEXUAL_CRIME,415
2020,4,VANDALISM,1564
2020,4,VEHICLE_CRIME,1913
2020,4,VIOLENT_CRIME,4615
2020,5,OTHER,1212
2020,5,PROPERTY_CRIME,6634
2020,5,SEXUAL_CRIME,369
2020,5,VANDALISM,1791
2020,5,VEHICLE_CRIME,1931
2020,5,VIOLENT_CRIME,5176
2020,6,OTHER,1119
2020,6,PROPERTY_CRIME,6269
2020,6,SEXUAL_CRIME,427
2020,6,VANDALISM,1750
2020,6,VEHICLE_CRIME,2156
2020,6,VIOLENT_CRIME,5249
2020,7,OTHER,1205
2020,7,PROPERTY_CRIME,6256
2020,7,SEXUAL_CRIME,416
2020,7,VANDALISM,1741
2020,7,VEHICLE_CRIME,2083
2020,7,VIOLENT_CRIME,5318
2020,8,OTHER,1179
2020,8,PROPERTY_CRIME,5815
2020,8,SEXUAL_CRIME,458
2020,8,VANDALISM,1730
2020,8,VEHICLE_CRIME,1911
2020,8,VIOLENT_CRIME,5714
2020,9,OTHER,1187
2020,9,PROPERTY_CRIME,5462
2020,9,SEXUAL_CRIME,437
2020,9,VANDALISM,1647
2020,9,VEHICLE_CRIME,1675
2020,9,VIOLENT_CRIME,5227
2020,10,OTHER,1223
2020,10,PROPERTY_CRIME,5911
2020,10,SEXUAL_CRIME,448
2020,10,VANDALISM,1672
2020,10,VEHICLE_CRIME,1885
2020,10,VIOLENT_CRIME,5320
2020,11,OTHER,1052
2020,11,PROPERTY_CRIME,5958
2020,11,SEXUAL_CRIME,372
2020,11,VANDALISM,1508
2020,11,VEHICLE_CRIME,1829
2020,11,VIOLENT_CRIME,4815
2020,12,OTHER,984
2020,12,PROPERTY_CRIME,6419
2020,12,SEXUAL_CRIME,335
2020,12,VANDALISM,1520
2020,12,VEHICLE_CRIME,1878
2020,12,VIOLENT_CRIME,4698
2021,1,OTHER,1096
2021,1,PROPERTY_CRIME,6550
2021,1,SEXUAL_CRIME,485
2021,1,VANDALISM,1623
2021,1,VEHICLE_CRIME,1956
2021,1,VIOLENT_CRIME,4788
2021,2,OTHER,1055
2021,2,PROPERTY_CRIME,6042
2021,2,SEXUAL_CRIME,373
2021,2,VANDALISM,1502
2021,2,VEHICLE_CRIME,1898
2021,2,VIOLENT_CRIME,4444
2021,3,OTHER,1145
2021,3,PROPERTY_CRIME,6406
2021,3,SEXUAL_CRIME,429
2021,3,VANDALISM,1560
2021,3,VEHICLE_CRIME,1878
2021,3,VIOLENT_CRIME,4801
2021,4,OTHER,1112
2021,4,PROPERTY_CRIME,6095
2021,4,SEXUAL_CRIME,430
2021,4,VANDALISM,1623
2021,4,VEHICLE_CRIME,1855
2021,4,VIOLENT_CRIME,4825
2021,5,OTHER,1101
2021,5,PROPERTY_CRIME,6446
2021,5,SEXUAL_CRIME,492
2021,5,VANDALISM,1722
2021,5,VEHICLE_CRIME,1895
2021,5,VIOLENT_CRIME,5237
2021,6,OTHER,1208
2021,6,PROPERTY_CRIME,6431
2021,6,SEXUAL_CRIME,498
2021,6,VANDALISM,1673
2021,6,VEHICLE_CRIME,1854
2021,6,VIOLENT_CRIME,5367
2021,7,OTHER,1311
2021,7,PROPERTY_CRIME,6863
2021,7,SEXUAL_CRIME,468
2021,7,VANDALISM,1879
2021,7,VEHICLE_CRIME,1924
2021,7,VIOLENT_CRIME,6073
2021,8,OTHER,1256
2021,8,PROPERTY_CRIME,6768
2021,8,SEXUAL_CRIME,495
2021,8,VANDALISM,1836
2021,8,VEHICLE_CRIME,2019
2021,8,VIOLENT_CRIME,5826
2021,9,OTHER,1233
2021,9,PROPERTY_CRIME,6979
2021,9,SEXUAL_CRIME,561
2021,9,VANDALISM,1710
2021,9,VEHICLE_CRIME,2133
2021,9,VIOLENT_CRIME,5621
2021,10,OTHER,1287
2021,10,PROPERTY_CRIME,7535
2021,10,SEXUAL_CRIME,504
2021,10,VANDALISM,1739
2021,10,VEHICLE_CRIME,2398
2021,10,VIOLENT_CRIME,5754
2021,11,OTHER,1146
2021,11,PROPERTY_CRIME,7494
2021,11,SEXUAL_CRIME,451
2021,11,VANDALISM,1612
2021,11,VEHICLE_CRIME,2323
2021,11,VIOLENT_CRIME,5256
2021,12,OTHER,1115
2021,12,PROPERTY_CRIME,7591
2021,12,SEXUAL_CRIME,416
2021,12,VANDALISM,1417
2021,12,VEHICLE_CRIME,2424
2021,12,VIOLENT_CRIME,4982
2022,1,OTHER,1194
2022,1,PROPERTY_CRIME,7897
2022,1,SEXUAL_CRIME,478
2022,1,VANDALISM,1574
2022,1,VEHICLE_CRIME,2180
2022,1,VIOLENT_CRIME,5209
2022,2,OTHER,1152
2022,2,PROPERTY_CRIME,7619
2022,2,SEXUAL_CRIME,470
2022,2,VANDALISM,1457
2022,2,VEHICLE_CRIME,1968
2022,2,VIOLENT_CRIME,5077
2022,3,OTHER,1330
2022,3,PROPERTY_CRIME,8479
2022,3,SEXUAL_CRIME,510
2022,3,VANDALISM,1642
2022,3,VEHICLE_CRIME,2206
2022,3,VIOLENT_CRIME,5560
2022,4,OTHER,1270
2022,4,PROPERTY_CRIME,8572
2022,4,SEXUAL_CRIME,499
2022,4,VANDALISM,1621
2022,4,VEHICLE_CRIME,2302
2022,4,VIOLENT_CRIME,5560
2022,5,OTHER,1316
2022,5,PROPERTY_CRIME,8627
2022,5,SEXUAL_CRIME,508
2022,5,VANDALISM,1706
2022,5,VEHICLE_CRIME,2306
2022,5,VIOLENT_CRIME,5996
2022,6,OTHER,1252
2022,6,PROPERTY_CRIME,8720
2022,6,SEXUAL_CRIME,533
2022,6,VANDALISM,1704
2022,6,VEHICLE_CRIME,2097
2022,6,VIOLENT_CRIME,5959
2022,7,OTHER,1353
2022,7,PROPERTY_CRIME,8360
2022,7,SEXUAL_CRIME,462
2022,7,VANDALISM,1638
2022,7,VEHICLE_CRIME,2182
2022,7,VIOLENT_CRIME,6002
2022,8,OTHER,1420
2022,8,PROPERTY_CRIME,8539
2022,8,SEXUAL_CRIME,464
2022,8,VANDALISM,1484
2022,8,VEHICLE_CRIME,2272
2022,8,VIOLENT_CRIME,5946
2022,9,OTHER,1237
2022,9,PROPERTY_CRIME,8263
2022,9,SEXUAL_CRIME,471
2022,9,VANDALISM,1449
2022,9,VEHICLE_CRIME,2120
2022,9,VIOLENT_CRIME,5783
2022,10,OTHER,1306
2022,10,PROPERTY_CRIME,9052
2022,10,SEXUAL_CRIME,480
2022,10,VANDALISM,1432
2022,10,VEHICLE_CRIME,2135
2022,10,VIOLENT_CRIME,5918
2022,11,OTHER,1123
2022,11,PROPERTY_CRIME,8920
2022,11,SEXUAL_CRIME,421
2022,11,VANDALISM,1327
2022,11,VEHICLE_CRIME,1955
2022,11,VIOLENT_CRIME,4991
2022,12,OTHER,1238
2022,12,PROPERTY_CRIME,9971
2022,12,SEXUAL_CRIME,414
2022,12,VANDALISM,1414
2022,12,VEHICLE_CRIME,1937
2022,12,VIOLENT_CRIME,5047
2023,1,OTHER,1264
2023,1,PROPERTY_CRIME,9469
2023,1,SEXUAL_CRIME,461
2023,1,VANDALISM,1438
2023,1,VEHICLE_CRIME,2030
2023,1,VIOLENT_CRIME,5267
2023,2,OTHER,1191
2023,2,PROPERTY_CRIME,8958
2023,2,SEXUAL_CRIME,378
2023,2,VANDALISM,1341
2023,2,VEHICLE_CRIME,1871
2023,2,VIOLENT_CRIME,4743
2023,3,OTHER,1287
2023,3,PROPERTY_CRIME,8510
2023,3,SEXUAL_CRIME,436
2023,3,VANDALISM,1494
2023,3,VEHICLE_CRIME,2079
2023,3,VIOLENT_CRIME,5379
2023,4,OTHER,1746
2023,4,PROPERTY_CRIME,7885
2023,4,SEXUAL_CRIME,437
2023,4,VANDALISM,1476
2023,4,VEHICLE_CRIME,1867
2023,4,VIOLENT_CRIME,5503
2023,5,OTHER,1449
2023,5,PROPERTY_CRIME,7853
2023,5,SEXUAL_CRIME,480
2023,5,VANDALISM,1438
2023,5,VEHICLE_CRIME,1981
2023,5,VIOLENT_CRIME,5690
2023,6,OTHER,1299
2023,6,PROPERTY_CRIME,7885
2023,6,SEXUAL_CRIME,395
2023,6,VANDALISM,1498
2023,6,VEHICLE_CRIME,2044
2023,6,VIOLENT_CRIME,5591
2023,7,OTHER,1291
2023,7,PROPERTY_CRIME,8093
2023,7,SEXUAL_CRIME,428
2023,7,VANDALISM,1612
2023,7,VEHICLE_CRIME,2366
2023,7,VIOLENT_CRIME,6127
2023,8,OTHER,1352
2023,8,PROPERTY_CRIME,8303
2023,8,SEXUAL_CRIME,465
2023,8,VANDALISM,1465
2023,8,VEHICLE_CRIME,2349
2023,8,VIOLENT_CRIME,6115
2023,9,OTHER,1377
2023,9,PROPERTY_CRIME,7821
2023,9,SEXUAL_CRIME,460
2023,9,VANDALISM,1507
2023,9,VEHICLE_CRIME,2270
2023,9,VIOLENT_CRIME,5853
2023,10,OTHER,1382
2023,10,PROPERTY_CRIME,8150
2023,10,SEXUAL_CRIME,458
2023,10,VANDALISM,1598
2023,10,VEHICLE_CRIME,2453
2023,10,VIOLENT_CRIME,6027
2023,11,OTHER,1445
2023,11,PROPERTY_CRIME,8022
2023,11,SEXUAL_CRIME,415
2023,11,VANDALISM,1408
2023,11,VEHICLE_CRIME,2400
2023,11,VIOLENT_CRIME,5354
2023,12,OTHER,1488
2023,12,PROPERTY_CRIME,8415
2023,12,SEXUAL_CRIME,410
2023,12,VANDALISM,1495
2023,12,VEHICLE_CRIME,2358
2023,12,VIOLENT_CRIME,5328
2024,1,OTHER,1536
2024,1,PROPERTY_CRIME,7857
2024,1,SEXUAL_CRIME,402
2024,1,VANDALISM,1504
2024,1,VEHICLE_CRIME,2310
2024,1,VIOLENT_CRIME,5235
2024,2,OTHER,1282
2024,2,PROPERTY_CRIME,7462
2024,2,SEXUAL_CRIME,398
2024,2,VANDALISM,1343
2024,2,VEHICLE_CRIME,2037
2024,2,VIOLENT_CRIME,4805
2024,3,OTHER,1246
2024,3,PROPERTY_CRIME,7120
2024,3,SEXUAL_CRIME,333
2024,3,VANDALISM,1312
2024,3,VEHICLE_CRIME,2046
2024,3,VIOLENT_CRIME,4122
2024,4,OTHER,846
2024,4,PROPERTY_CRIME,5932
2024,4,SEXUAL_CRIME,220
2024,4,VANDALISM,965
2024,4,VEHICLE_CRIME,1896
2024,4,VIOLENT_CRIME,2970
2024,5,OTHER,594
2024,5,PROPERTY_CRIME,4682
2024,5,SEXUAL_CRIME,137
2024,5,VANDALISM,751
2024,5,VEHICLE_CRIME,1970
2024,5,VIOLENT_CRIME,1078
2024,6,OTHER,700
2024,6,PROPERTY_CRIME,4328
2024,6,SEXUAL_CRIME,74
2024,6,VANDALISM,686
2024,6,VEHICLE_CRIME,1876
2024,6,VIOLENT_CRIME,188
2024,7,OTHER,684
2024,7,PROPERTY_CRIME,3874
2024,7,SEXUAL_CRIME,94
2024,7,VANDALISM,639
2024,7,VEHICLE_CRIME,1938
2024,7,VIOLENT_CRIME,155
2024,8,OTHER,107
2024,8,PROPERTY_CRIME,354
2024,8,SEXUAL_CRIME,6
2024,8,VANDALISM,51
2024,8,VEHICLE_CRIME,219
2024,8,VIOLENT_CRIME,24
